user_id,post_id
413,1765
586,5620
1185,4113
299,576
96,5235
1023,1906
164,3569
500,5611
294,5468
805,3679
1106,199
132,4702
1116,1880
1180,4036
136,1201
555,5446
500,392
248,587
821,1807
1109,4387
412,4346
1052,629
325,4210
416,4220
43,3453
1080,4993
353,4438
965,1714
778,5326
1116,4451
1084,4461
1185,5361
777,4389
927,55
490,5884
490,1421
437,4965
314,2113
805,4927
416,949
1001,1861
338,5328
373,4403
373,1268
412,3745
1180,3032
1185,2546
520,718
314,1918
377,4438
1023,3598
349,3584
991,482
136,1473
633,1973
1180,856
518,636
939,3136
111,5260
924,1019
1185,3621
248,928
760,363
136,138
586,3584
927,2883
392,691
14,1121
299,3423
456,774
547,793
1151,4933
741,4104
777,2718
1151,2850
959,839
248,5915
249,484
586,662
741,5823
871,1480
1180,5688
1080,568
1169,1896
871,3968
1023,3154
924,1643
310,1899
209,4450
1115,3096
377,2501
555,4857
1120,5482
1151,1386
250,492
14,869
1080,5561
871,2959
929,1136
53,2305
250,1899
991,1451
924,5099
209,1515
504,1657
1023,3371
555,5422
353,4
349,3049
388,5181
738,5961
249,3744
1151,4937
467,402
353,792
21,5558
392,4081
438,1574
500,3038
1013,2016
274,1211
384,5206
1106,1625
134,4758
777,2185
532,4982
172,5372
1180,5175
490,4407
728,4829
859,5148
778,5106
416,4904
338,5057
349,1300
505,2445
831,3181
134,220
606,5417
53,4665
490,5107
392,5342
96,2276
944,1668
1076,1338
223,1812
523,3998
164,805
132,374
728,1230
250,1135
456,3069
213,1010
871,3843
1163,4925
942,2764
1180,4131
1076,2098
172,5452
314,3012
44,2859
132,3189
103,828
760,3464
164,1721
850,1842
547,5841
44,5196
944,3492
1084,2639
505,4712
500,3848
1173,2803
1013,4923
1016,4351
696,2353
377,5246
1061,5584
1001,5761
78,4646
871,6
529,1845
1151,2987
929,2643
21,1548
1185,186
413,4874
190,590
942,2384
1106,3100
942,1396
970,4333
821,1827
294,4229
377,3322
96,1403
392,4261
939,3892
442,2729
43,1502
805,4244
43,5737
831,5443
1151,1322
505,2708
760,3039
442,5303
96,1488
658,4949
103,5501
172,5194
1129,751
388,5086
338,5257
850,898
136,112
1097,794
437,9
1076,5791
924,4764
442,4774
871,3020
606,3944
223,3070
1190,3190
1080,4780
532,5161
274,5220
388,3421
570,4582
821,294
314,308
172,293
249,5113
377,621
871,5763
738,194
859,99
249,3111
1120,4897
209,2960
518,1979
373,558
384,5017
388,1545
353,2023
1120,1138
1115,2333
349,171
500,2673
388,1239
924,5016
532,1030
1016,1849
696,4475
965,1612
1173,4833
162,3394
250,4597
349,3865
223,1009
821,3801
412,4925
