user_id,post_id
1,55
1,1338
1,2010
1,2073
1,2729
1,3664
1,3689
1,4564
1,5402
1,5483
1,6860
1,7448
1,7717
2,2806
2,4826
2,7542
2,7919
2,7981
2,8491
2,9370
2,9695
3,671
3,1747
3,3487
3,4944
3,5170
3,7651
3,7709
3,8623
3,9021
3,9288
4,766
4,844
4,1011
4,1626
4,1724
4,2653
4,2658
4,3549
4,3698
4,4246
4,4400
4,4554
4,5458
4,6189
4,6285
4,6427
4,6503
4,6677
4,7006
4,7107
4,7610
4,8469
4,8997
4,9689
5,477
5,745
5,1173
5,2338
5,3003
5,3961
5,5078
5,5692
5,6024
5,6064
5,6807
5,7289
5,7697
5,8594
5,8824
5,9268
6,1139
6,2333
6,3682
6,5446
6,5743
6,6834
6,6856
6,6882
6,8136
7,829
7,1714
7,2004
7,2007
7,2727
7,3125
7,3199
7,3368
7,3609
7,4152
7,4601
7,5546
7,5563
7,5783
7,7408
7,8893
7,9388
8,491
8,895
8,1467
8,2637
8,3525
8,4602
8,5181
8,6630
8,7940
8,8274
8,8822
8,9039
9,1160
9,1208
9,3782
9,3794
9,4628
9,5088
9,7041
9,7088
9,8611
10,957
10,1018
10,1136
10,2662
10,3142
10,3603
10,3769
10,3815
10,4965
10,5450
10,5458
10,5497
10,7003
10,7231
10,7342
10,8531
10,8910
11,97
11,997
11,1414
11,1558
11,2201
11,2652
11,4551
11,6975
11,7290
11,7298
11,8573
12,2232
12,2857
12,4224
12,6636
12,9205
13,193
13,1707
13,1964
13,1986
13,2326
13,5120
13,5498
13,5504
13,6224
13,6452
13,7019
13,7244
13,7355
13,7994
13,9626
14,261
14,1038
14,1760
14,1991
14,2703
14,3214
14,3248
14,3552
14,3559
14,4802
14,5796
14,6002
14,6343
14,7539
14,7978
14,8423
14,8464
15,140
15,4167
15,5675
15,5712
15,6037
15,7059
15,7267
15,7657
15,7987
16,430
16,837
16,1749
16,2603
16,3410
16,3871
16,4473
16,4518
16,5050
16,5283
16,5298
16,6209
16,6609
16,8445
16,8696
16,9667
17,1640
17,1899
17,2342
17,2763
17,3438
17,3786
17,4368
17,4569
17,4833
17,5486
17,7328
17,7733
17,8386
18,302
18,545
18,606
18,1195
18,1233
18,1270
18,1827
18,1869
18,2072
18,4910
18,5257
18,5704
18,6334
18,7503
18,8265
18,8428
18,9130
18,9643
19,192
19,797
19,834
19,1692
19,2624
19,3824
19,5272
19,6051
19,7299
19,7973
19,8287
20,63
20,227
20,896
